id,name,provider,category,last_date,amount,age,annual_income,caste,eligibility,documents_required,official_link
1,IDRBT Research Associateship 2025,IDRBT,College Level,Always Open,"A monthly CTC of ?31,500",Less than 28 Years,Any,Any,1. not exceed 28 years of age as of the application date 2. be admitted to a Ph.D. degree in one of the following courses approved by the All India Council for Technical Education. 3. be a first-class (60%) full-time B.E./B.Tech. (CSE/IT/ECE) or equivalent science graduate from a recognised institution,1. A recent passport-size photograph 2. A duly filled application form 3. Curriculum vitae (CV),https://www.buddy4study.com/scholarship/idrbt-research-associateship
2,AICTE Doctoral Fellowship (ADF) Scheme 2024-25,AICTE,College Level,Always Open,"Junior Research Fellowship (JRF): ?37,000 per month Senior Research Fellowship (SRF): ?42,000 per month Annual grant for miscellaneous expenses: ?15,000",30 Years,Any,Any,"1. be under 30 years of age at the time of admission 2. be admitted to a Ph.D. degree in one of the following courses approved by the All India Council for Technical Education 3. have successfully completed an undergraduate or postgraduate degree (or a five-year integrated/dual degree leading to a postgraduate degree) in engineering and technology, management, design, planning, applied arts, crafts and design, hotel management and catering technology, or computer application, as per the conditions prescribed by the admitted university.",1. University admission form (if applicable) 2. Undergraduate and postgraduate degrees and marksheet 3. National examination qualifications/marksheet 4. Caste certificate (if applicable) 5. Disability certificate (if applicable),https://www.aicte-india.org/schemes/students-development-schemes/ADF-Scheme
3,Education Future International Scholarship 2024,Education Future,College Level,Always Open,2-10 Lakhs,More than 16 Years,Any,Any,1. be an Indian national with a valid Indian passport 2. be pursuing an undergraduate/postgraduate course overseas at a recognized university/college outside India 3. have secured a minimum of 60% marks in Class 10 and 12 4. reflect their lack of means of education funding,1. Statement of Purpose 2. Class 10th and 12th marksheet 3. A valid passport,https://www.education-future.org/
4,J.N. Tata Endowment Loan Scholarships,J. N. TATA,College Level,31-Mar-25,Variable Loan Amount,less than 45 Years,Any,Any,"1. Indian nationals below 45 years of age. 2. Must have a first-class degree from a recognized university in India. 3. Applying for postgraduate, doctoral, or postdoctoral studies abroad or in India. 4. Should have a good academic record and strong leadership qualities.",1. A recent passport-size photograph. 2. A duly filled application form. 3. Statement of Purpose (SOP). 4. Curriculum Vitae (CV). 5. Academic transcripts from the last qualifying degree. 6. Letters of Recommendation.,https://jntataendowment.org/
5,Narotam Sekhsaria Foundation Scholarship Program,Narotam Sekhsaria,College Level,31-Mar-25,"Up to ?20,00,000 as an interest-free loan scholarship",less than 30 Years,Any,Any,1. Indian nationals below 30 years of age. 2. Must have completed undergraduate studies from a recognized Indian university. 3. Applying for postgraduate studies in India or abroad in any discipline. 4. Must have an excellent academic record and extracurricular achievements.,1. A recent passport-size photograph. 2. A duly filled application form. 3. Statement of Purpose (SOP). 4. Curriculum Vitae (CV). 5. Academic transcripts from the last qualifying degree. 6. Letters of Recommendation.,https://www.nsscholarship.net/lander
6,Swami Dayanand Education Foundation Merit-cum-Means Scholarships 2025,Swami Dayanand,School Level,"Applications start from June 9, 2025; no fixed deadline.","Variable, based on merit and need.", More than 19 Years,less than 8 Lakh,Any,"1. Students who studied in government or aided schools in 10th grade 2. Age limit: 19 years for first-year students and 20 years for second-year students. 3. Annual family income should not exceed ?8,00,000. 4. Must have secured at least 85% marks in Class XII.",1. Duly filled online application form. 2. Income certificate or proof of family income. 3. Marksheet of Class XII. 4. Two income verification letters from neighbors who are not related and pay income tax.,https://www.swamidayanand.org/scholarship-india
7,HDFC Bank Parivartan's ECS Scholarship 2025,HDFC Bank,School Level,30-Apr-25,"Up to ?75,000",Less than 17 Years,less than 2.5 Lakhs,Any,"1. Open to Indian nationals. 2. Students from Class 6 to 12. 3. Family income should be less than ?2,50,000 per annum. 4. Must have secured at least 55% marks in the previous academic year.","1. Duly filled application form. 2. Income proof of parents/guardians. 3. Marksheet of the previous academic year. 4. Identity proof (Aadhaar card, etc.)",https://www.hdfcbankecss.com/index.html
8,Kotak Kanya Scholarship 2025,Kotak Education,For Girls,15-Apr-25,"?50,000 per year",Less than 17 Years,less than 3 Lakhs,Any,"1. Open to female students studying in Class 9 to 12. 2. Must have secured at least 75% marks in Class 8 or 9. 3. Family income should not exceed ?3,00,000 per annum.",1. Marksheet of the previous class. 2. Income certificate of parents. 3. Aadhaar card or any valid ID proof.,https://www.kotakeducationfoundation.org/
9,HDFC Educational Crisis Scholarship Support (ECSS) 2025,HDFC Bank,School Level,To be announced; typically opens annually,"Up to ?10,000 for school students",Less than 17 Years,Any,Any,1. Students from Class 6 to 12 who are facing a personal or family crisis that might lead to discontinuation of education. 2. Must be enrolled in a recognized school in India.,"1. Recent passport-size photograph. 2. Duly filled application form. 3. Academic records (marksheets). 4. Proof of crisis (medical reports, death certificate of earning member, etc.). 5. Identity proof (Aadhaar card, etc.)",https://www.hdfcbankecss.com/index.html
10,L'Oréal India For Young Women in Science Scholarship 2025,L'Oréal India,For Girls,To be announced; typically opens annually,"?2,50,000 (one-time)",Less than 17 Years,less than 4 Lakh,Any,"1. Female students who have passed Class 12 in the Science stream. 2. Must have secured at least 85% in PCM/PCB. 3. Annual family income should be less than ?4,00,000. 4. Must be seeking financial assistance for pursuing higher education in a scientific field.","1. Recent passport-size photograph. 2. Duly filled application form. 3. Class 12 marksheet. 4. Family income proof. 5. Proof of admission to a scientific course. 6. Identity proof (Aadhaar card, etc).",https://www.foryoungwomeninscience.com/
11,Fulbright-Nehru Scholarship,USIEF,International,15-May-25,"Covers tuition fees, living costs, travel expenses, and health insurance",More than 20 Years,Any,Any,1. Open to Indian nationals. 2. Must have completed the equivalent of a U.S. bachelor's degree. 3. At least three years of professional work experience. 4. Demonstrate outstanding leadership qualities,"1. Completed application form. 2. Proof of work experience. 3. Academic transcripts. 4. Identity proof (Aadhaar card, etc.)",https://www.usief.org.in/fulbright-fellowships/fellowships-for-indian-citizen/fulbright-nehru-masters-fellowships/
12,Chevening Scholarship,UK Government,International,05-Nov-25,"Fully-funded (tuition fees, travel, and accommodation)",More than 20 Years,Any,Any,1. Open to citizens of Chevening-eligible countries. 2. Must have completed an undergraduate degree. 3. At least two years of work experience. 4. Unconditional admission offer from a UK university.,"1. Completed application form. 2. Proof of work experience. 3. Academic transcripts. 4. Identity proof (Aadhaar card, etc.)",https://www.chevening.org/scholarships/
13,University of Adelaide Ashok Khurana Scholarship for Indian Students,University of Adelaide,International,29-Nov-25,"AUD 30,000 (towards airfares, living expenses, and tuition fees)",More than 20 Years,Any,Any,1. Open to Indian nationals. 2. Must be commencing a postgraduate coursework program. 3.Demonstrate outstanding leadership qualities. 4. Not currently studying in Australia.,1. Completed application form. 2. Academic transcripts. 3. Proof of Indian citizenship. 4. Personal statement.,https://international.adelaide.edu.au/admissions/scholarships/ashok-khurana-scholarship-for-outstanding-indian-student
14,UCD Global Graduate Scholarships for Indian Students in Ireland,University College Dublin,International,31-Mar-25,50% or 100% tuition fee scholarships,More than 20 Years,Any,Any,1. Open to Indian nationals. 2. Must have an offer to study at UCD. 3. Demonstrate academic excellence. 4. Meet the specific program requirements.,"1. Completed application form. 2. Academic transcripts. 3. Proof of offer from UCD. 4. Identity proof (passport, etc.)",https://www.ucd.ie/global/scholarships/
15,Campus France Charpak Scholarship,French Government,International,Varies by sub-program,"Monthly living allowance, visa fee exemption, social security, and more",30 Years,Any,Any,1. Open to Indian nationals. 2. Must be enrolled or have completed studies at an Indian institution. 3. Age limit of 30 years. 4. Applied for admission to a French institution.,1. Completed application form. 2. Academic transcripts. 3. Proof of Indian citizenship. 4. Admission letter from a French institution.,https://www.inde.campusfrance.org/france-excellence-charpak-scholarship-program
16,British Council GREAT Scholarships for Indian Students,British Council and UK Government,International,Varies by institution,"£10,000 towards tuition fees",More than 20 Years,Any,Any,1. Open to Indian nationals. 2. Must have an undergraduate degree. 3. Meet the English language requirement of the UK university. 4. Demonstrate interest in the proposed subject area.,"1. Completed application form. 2. Academic transcripts. 3. Proof of English language proficiency. 4. Identity proof (passport, etc.)",https://www.britishcouncil.in/study-uk/scholarships/great-scholarships
17,Charles Wallace India Trust Scholarships,Charles Wallace India Trust,International,Varies by sub-program,"Covers accommodation, living costs, and contribution towards international travel",More than 28 Years,Any,Any,"1. Open to Indian nationals. 2. Aged between 28-38 years. 3. Significant working experience in the relevant field. 4. First degree, diploma, or professional qualification in their specialization.",1. Completed application form. 2. Academic transcripts. 3. Proof of Indian citizenship. 4. Personal statement.,https://www.charleswallaceindiatrust.com/scholarships
18,Cornell University Tata Scholarship,Tata Education and Development Trust,International,Varies by sub-Program,Covers tuition fees and annual course fees,More than 20 Years,Any,Any,1. Open to Indian nationals. 2. Must have attended secondary school in India. 3. Demonstrate financial need. 4. admission offer from Cornell University.,"1. Completed application form. 2. Academic transcripts. 3. Proof of Financial need. 4. Identity proof (passport, etc.)", https://collegedunia.com/scholarship/2-tata-scholarship-cornell-university
19,Stanford Reliance Dhirubhai Fellowships for Indian Students,Reliance Industries Limited,International,Varies by sub-Program,Covers tuition fees and related costs,More than 20 Years,Any,Any,1. Open to Indian nationals. 2. Must have a bachelor's degree. 3. Submit GRE/GMAT and TOEFL/IELTS scores. 4. Demonstrate leadership potential.,1. Completed application form. 2. Academic transcripts. 3. Proof of Indian citizenship. 4. Letter of recommendation.,https://collegedunia.com/scholarship/7-stanford-reliance-dhirubhai-fellowship-program
20,University of Southampton Scholarships for Indian Students,University of Southampton,International,Varies by Scholarship,Varies by Scholarship,More than 20 Years,Any,Any,1. Open to Indian nationals. 2. Must meet the academic requirements of the chosen program. 3. Demonstrate academic excellence. 4. Meet the English language requirements.,1. Completed application form. 2. Academic transcripts. 3. Proof of English language proficiency. 4. Proof of Indian citizenship.,https://www.southampton.ac.uk/uni-life/international/your-country/asia/india.page
